Player,price
Aaron Cresswell," £1,560,000.00 "
Aaron Hickey," £1,560,000.00 "
Aaron Ramsdale," £3,220,000.00 "
Aaron Wan-Bissaka," £4,680,000.00 "
Abdoulaye Doucouré," £3,900,000.00 "
Adam Armstrong," £2,490,000.00 "
Adam Forshaw," £1,560,000.00 "
Adam Lallana," £4,680,000.00 "
Adam Smith," £1,820,000.00 "
Adam Webster," £1,976,000.00 "
Adama Traoré," £3,120,000.00 "
Ainsley Maitland-Niles," £2,600,000.00 "
Albert Sambi Lokonga," £3,466,667.00 "
Alejandro Garnacho," £3,185,000.00 "
Aleksandar Mitrovic," £1,560,000.00 "
Alex Iwobi," £4,840,000.00 "
Alex McCarthy," £1,560,000.00 "
Álex Moreno," £1,560,000.00 "
Alex Oxlade-Chamberlain," £7,800,000.00 "
Alexander Isak," £1,560,000.00 "
Alexis Mac Allister," £1,500,000.00 "
Alisson," £1,560,000.00 "
Allan Saint-Maximin," £1,560,000.00 "
Alphonse Aréola," £1,300,000.00 "
Amadou Onana," £1,560,000.00 "
André Ayew," £1,560,000.00 "
Andreas Pereira," £2,080,000.00 "
Andrew Robertson," £1,560,000.00 "
Angelo Ogbonna," £1,560,000.00 "
Anthony Elanga," £1,560,000.00 "
Anthony Gordon," £1,040,000.00 "
Anthony Martial," £1,430,000.00 "
Antoine Semenyo," £10,400,000.00 "
Antonee Robinson," £1,560,000.00 "
Antony," £1,560,000.00 "
Armando Broja," £2,080,000.00 "
Armel Bella-Kotchap," £3,120,000.00 "
Arnaut Danjuma," £1,560,000.00 "
Ashley Young," £2,080,000.00 "
Aymeric Laporte," £4,000,000.00 "
Ben Chilwell," £1,560,000.00 "
Ben Davies," £1,000,000.00 "
Ben Godfrey," £2,860,000.00 "
Ben Johnson," £6,240,000.00 "
Ben Mee," £4,387,500.00 "
Ben White," £1,560,000.00 "
Benoît Badiashile," £4,680,000.00 "
Bernardo Silva," £1,040,000.00 "
Bernd Leno," £7,800,000.00 "
Bertrand Traoré," £1,560,000.00 "
Billy Gilmour," £3,380,000.00 "
Bobby De Cordova-Reid," £1,560,000.00 "
Boubacar Kamara," £1,560,000.00 "
Boubacar Traoré," £12,480,000.00 "
Boubakary Soumaré," £5,616,000.00 "
Brenden Aaronson," £4,160,000.00 "
Brennan Johnson," £4,160,000.00 "
Bruno Fernandes," £10,140,000.00 "
Bruno Guimarães," £6,240,000.00 "
Bryan Gil," £2,400,000.00 "
Bryan Mbeumo," £1,560,000.00 "
Bukayo Saka," £1,040,000.00 "
Çaglar Söyüncü," £15,600,000.00 "
Callum Wilson," £1,560,000.00 "
Calum Chambers," £1,560,000.00 "
Carlos Alcaraz," £5,200,000.00 "
Carlos Vinícius," £3,900,000.00 "
Carney Chukwuemeka," £1,560,000.00 "
Casemiro," £1,560,000.00 "
Cédric Soares," £1,560,000.00 "
César Azpilicueta," £1,820,000.00 "
Ché Adams," £1,560,000.00 "
Cheick Doucouré," £7,800,000.00 "
Cheikhou Kouyaté," £1,040,000.00 "
Chris Mepham," £5,720,000.00 "
Chris Richards," £1,360,000.00 "
Chris Wood," £1,560,000.00 "
Christian Eriksen," £8,580,000.00 "
Christian Nørgaard," £1,560,000.00 "
Christian Pulisic," £2,600,000.00 "
Clément Lenglet," £3,120,000.00 "
Cody Gakpo," £1,448,571.00 "
Cole Palmer," £2,860,000.00 "
Conor Coady," £9,330,000.00 "
Conor Gallagher," £1,560,000.00 "
Craig Dawson," £1,300,000.00 "
Cristian Romero," £1,560,000.00 "
Crysencio Summerville," £5,200,000.00 "
Curtis Jones," £3,120,000.00 "
Dan Burn," £5,200,000.00 "
Dan James," £1,560,000.00 "
Dango Ouattara," £1,300,000.00 "
Daniel Amartey," £3,900,000.00 "
Daniel Iversen," £1,560,000.00 "
Daniel Podence," £5,200,000.00 "
Danilo," £1,560,000.00 "
Danny Ings," £1,560,000.00 "
Danny Ward," £4,420,000.00 "
Danny Welbeck," £1,560,000.00 "
Darwin Núñez," £1,300,000.00 "
David Brooks," £6,240,000.00 "
David Raya," £3,900,000.00 "
Davinson Sánchez," £1,560,000.00 "
Declan Rice," £3,380,000.00 "
Dejan Kulusevski," £5,200,000.00 "
Demarai Gray," £1,560,000.00 "
Denis Zakaria," £2,340,000.00 "
Deniz Undav," £4,940,000.00 "
Dennis Praet," £2,170,000.00 "
Diego Carlos," £3,000,000.00 "
Diego Costa," £3,900,000.00 "
Diego Llorente," £1,560,000.00 "
Diogo Dalot," £1,560,000.00 "
Diogo Jota," £1,560,000.00 "
Dominic Calvert-Lewin," £4,160,000.00 "
Dominic Solanke," £1,560,000.00 "
Donny van de Beek," £890,000.00 "
Douglas Luiz," £1,560,000.00 "
Duje Caleta-Car," £1,560,000.00 "
Dwight McNeil," £1,040,000.00 "
Eberechi Eze," £1,560,000.00 "
Eddie Nketiah," £2,080,000.00 "
Ederson," £9,360,000.00 "
Elliot Anderson," £1,560,000.00 "
Ellis Simms," £4,160,000.00 "
Emerson," £2,360,000.00 "
Emerson Royal," £1,560,000.00 "
Emile Smith Rowe," £780,000.00 "
Emiliano Buendía," £1,000,000.00 "
Emiliano Martínez," £4,160,000.00 "
Emmanuel Dennis," £1,560,000.00 "
Enzo Fernández," £1,560,000.00 "
Eric Dier," £1,560,000.00 "
Erling Haaland," £3,900,000.00 "
Ethan Pinnock," £6,240,000.00 "
Evan Ferguson," £1,560,000.00 "
Ezri Konsa," £1,560,000.00 "
Fabian Schär," £2,600,000.00 "
Fabinho," £1,560,000.00 "
Fábio Carvalho," £4,680,000.00 "
Fábio Vieira," £1,040,000.00 "
Facundo Buonanotte," £1,560,000.00 "
Felipe," £4,680,000.00 "
Flynn Downes," £3,640,000.00 "
Frank Onyeka," £1,040,000.00 "
Fraser Forster," £4,680,000.00 "
Fred," £1,058,200.00 "
Gabriel Jesus," £1,040,000.00 "
Gabriel Magalhães," £1,560,000.00 "
Gabriel Martinelli," £1,560,000.00 "
Gavin Bazunu," £1,820,000.00 "
Georginio Rutter," £1,560,000.00 "
Gianluca Scamacca," £1,560,000.00 "
Gonçalo Guedes," £10,400,000.00 "
Granit Xhaka," £8,464,286.00 "
Gustavo Scarpa," £1,690,000.00 "
Hakim Ziyech," £9,984,000.00 "
Hamed Traorè," £2,860,000.00 "
Harrison Reed," £1,560,000.00 "
Harry Kane," £1,560,000.00 "
Harry Maguire," £1,560,000.00 "
Harry Souttar," £1,560,000.00 "
Harry Toffolo," £1,300,000.00 "
Harry Wilson," £3,276,000.00 "
Harvey Barnes," £1,560,000.00 "
Harvey Elliott," £1,950,000.00 "
Hugo Bueno," £1,092,000.00 "
Hugo Lloris," £1,560,000.00 "
Hwang Hee-Chan," £1,560,000.00 "
Ibrahima Diallo," £1,560,000.00 "
Ibrahima Konaté," £15,600,000.00 "
Idrissa Gueye," £1,560,000.00 "
Ilkay Gündogan," £1,300,000.00 "
Illan Meslier," £18,200,000.00 "
Illia Zabarnyi," £1,560,000.00 "
Issa Diop," £1,100,000.00 "
Ivan Perisic," £1,560,000.00 "
Ivan Toney," £2,340,000.00 "
Jack Colback," £7,280,000.00 "
Jack Grealish," £1,560,000.00 "
Jack Harrison," £3,390,000.00 "
Jack Stacey," £1,200,000.00 "
Jack Stephens," £1,560,000.00 "
Jacob Murphy," £833,333.00 "
Jacob Ramsey," £3,900,000.00 "
Jadon Sancho," £2,100,000.00 "
Jaidon Anthony," £2,912,000.00 "
Jairo Riedewald," £4,130,000.00 "
Jakub Kiwior," £1,560,000.00 "
Jamaal Lascelles," £2,600,000.00 "
James Bree," £1,560,000.00 "
James Garner," £860,000.00 "
James Justin," £3,900,000.00 "
James Maddison," £1,560,000.00 "
James Milner," £1,560,000.00 "
James Tarkowski," £1,560,000.00 "
James Tomkins," £1,040,000.00 "
James Ward-Prowse," £1,560,000.00 "
Jamie Vardy," £4,500,000.00 "
Jan Bednarek," £1,907,000.00 "
Jan Paul van Hecke," £1,560,000.00 "
Japhet Tanganga," £936,000.00 "
Jarrod Bowen," £2,600,000.00 "
Jason Steele," £1,560,000.00 "
Javier Manquillo," £2,200,000.00 "
Jean-Philippe Mateta," £1,300,000.00 "
Jefferson Lerma," £7,800,000.00 "
Jeffrey Schlupp," £1,560,000.00 "
Jeremy Sarmiento," £1,560,000.00 "
